	BbigeminaBOND	BbovisT2Bo	BmicrotiRI	Candersoni30847	Ccayetanensis	CfelisWinnie	ChominisTU502	CmurisRN66	CparvumIowaII	Cubiquitum39726	CveliaCCMP2878	EacervulinaHoughton	EfalciformisB	EmaximaW	EmitisH	EnecatrixH	EtenellaH	GniphandrodesUnknown	HhammondiH	NcaninumL	PbergheiANKA	Pchabaudichabaudi	PcoatneyiHackeri	PcynomolgiB	Pfalciparum3D7	PfragileNilgiri	PgaboniSY75	Pgallinaceum8A	PinuiSanAntonio1	PknowlesiH	PmalariaeUG01	PovalecurtisiGH01	PreichenowiCDC	PrelictumSGS1	PvinckeipetteriCR	PvivaxSal1	Pyoeliiyoelii17X	SneuronaSN3	TannulataAnkara	TgondiiVEG	TorientalisShintoku	TparvaMuguga	VbrassicaformisCCMP3155	Total
OG0000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187	130	0	0	0	0	0	0	0	0	0	0	0	0	62	0	1014	0	0	0	0	0	0	1393
OG0000001	7	8	9	14	30	8	15	14	15	14	107	33	35	30	20	29	33	22	33	33	16	16	17	17	18	17	21	19	16	17	17	17	18	19	15	17	16	26	9	33	8	8	140	1026
OG0000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	955	10	0	0	0	0	0	0	0	0	0	0	0	966
OG0000003	677	132	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	811
OG0000004	4	4	5	6	6	2	6	5	6	6	449	6	10	9	7	9	8	12	8	10	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	9	4	10	3	4	69	779
OG0000005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	80	0	0	0	0	1	0	92	550	0	0	0	35	0	0	0	0	0	0	0	759
OG0000006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	131	0	0	0	0	0	0	43	523	0	0	0	57	0	0	0	0	0	0	0	756
OG0000007	0	0	0	0	9	0	0	0	0	0	329	12	0	12	54	94	19	209	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	747
OG0000008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	0	5	0	1	3	0	0	443	0	0	0	0	0	0	0	0	0	0	632
OG0000009	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	73	151	1	1	1	1	1	1	1	1	1	1	1	1	162	1	185	0	0	0	0	0	0	586
OG0000010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	297	5	0	0	0	0	1	231	0	0	0	0	0	1	0	0	0	1	0	0	0	537
OG0000011	8	8	8	11	11	7	11	11	11	11	61	12	13	6	7	8	11	13	13	13	9	9	8	9	9	9	9	9	8	8	9	9	9	9	9	9	9	10	7	12	8	7	47	495
OG0000012	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	483	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	488
OG0000013	2	2	1	4	13	2	3	4	3	3	65	13	13	11	9	12	14	8	19	20	8	8	8	10	10	10	10	10	11	9	10	10	10	10	8	10	8	4	1	18	1	1	77	483
OG0000014	6	6	8	8	12	6	7	8	8	7	22	17	18	15	17	16	15	9	13	11	9	9	10	9	10	10	10	10	10	10	10	10	10	10	9	10	9	14	8	13	7	9	16	461
OG0000015	2	2	0	5	14	1	6	5	6	6	60	15	21	15	17	16	17	4	16	17	7	7	7	7	6	7	8	7	7	7	7	7	6	7	8	7	7	14	2	17	2	2	45	446
OG0000016	0	0	0	0	6	0	0	0	0	0	225	10	0	8	44	83	9	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	432
OG0000017	8	8	7	9	12	7	8	9	8	8	21	8	10	6	4	11	12	11	11	11	9	9	9	9	9	10	8	9	9	9	9	9	9	9	9	9	9	11	8	11	8	7	18	405
OG0000018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	331	1	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	377
OG0000019	1	0	5	0	0	193	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	0	4	44	0	373
OG0000020	8	10	7	7	9	8	8	7	7	8	9	8	6	10	7	8	9	10	8	9	8	8	8	9	8	8	8	8	8	8	8	8	8	8	8	8	8	6	8	8	8	8	9	347
OG0000021	0	0	0	1	15	0	1	1	1	1	22	25	13	23	21	27	34	1	13	11	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	15	1	13	0	2	20	346
OG0000022	0	0	0	0	3	0	0	0	0	0	4	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	327	346
OG0000023	0	0	0	0	2	0	0	0	0	0	223	0	2	1	0	1	2	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	101	340
OG0000024	5	5	6	9	10	8	10	10	10	10	16	12	9	12	13	11	12	7	9	9	5	5	5	5	5	6	5	6	5	5	5	5	5	6	5	5	5	9	6	9	6	6	16	333
OG0000025	0	0	1	3	8	0	3	3	3	3	201	4	5	4	4	4	6	3	8	8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	0	8	0	0	30	332
OG0000026	1	1	1	1	4	16	1	1	1	1	4	4	4	3	6	4	4	2	4	4	6	29	14	9	14	6	18	2	20	8	8	9	16	2	25	11	13	4	3	4	7	7	6	308
OG0000027	7	7	7	6	8	7	6	6	6	6	11	7	8	8	9	9	10	8	8	7	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	7	7	7	7	7	14	302
OG0000028	0	0	0	0	4	0	0	0	0	0	0	9	9	12	131	80	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	301
OG0000029	2	2	2	2	11	2	3	2	2	2	36	9	13	10	6	11	15	8	17	16	4	4	4	4	6	4	6	5	4	4	4	4	6	5	4	4	4	9	1	16	2	2	12	289
OG0000030	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	10	0	9	2	0	0	170	70	12	1	0	4	0	0	0	0	0	0	1	283
OG0000031	0	0	0	0	0	0	0	0	0	0	273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	274
OG0000032	1	1	4	2	9	4	2	2	2	2	23	15	11	15	13	15	19	8	12	13	1	1	1	1	2	1	1	3	1	1	4	12	2	1	1	2	1	19	2	15	2	3	21	271
OG0000033	4	6	6	1	18	6	1	1	1	1	2	10	11	6	6	13	11	5	16	16	4	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	13	9	16	8	9	4	269
OG0000034	5	4	4	5	8	4	6	5	5	5	17	6	7	8	6	10	10	15	9	9	4	4	3	4	5	4	5	4	4	4	4	4	5	4	4	4	4	9	4	9	4	4	18	266
OG0000035	0	1	0	2	11	1	2	2	2	2	28	11	13	7	11	11	14	9	12	12	3	3	3	3	3	3	3	3	3	3	3	4	3	3	4	3	3	14	0	12	1	0	25	256
OG0000036	4	4	3	5	9	5	4	5	4	4	21	10	6	10	11	7	6	7	6	6	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	8	3	6	3	3	10	255
OG0000037	0	0	0	3	8	0	6	2	2	6	54	11	8	9	13	10	8	5	8	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	0	8	0	0	63	251
OG0000038	3	3	3	5	7	3	5	5	5	5	16	7	11	7	5	8	9	5	8	9	5	5	5	5	5	5	6	6	5	5	5	5	5	6	6	5	5	6	3	8	3	4	6	248
OG0000039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	14	36	3	24	3	2	26	25	23	38	3	1	3	30	3	0	0	0	0	0	0	240
OG0000040	0	0	0	0	10	0	0	0	0	0	27	26	8	33	46	13	20	3	2	0	0	0	0	0	4	0	3	1	0	0	0	0	2	1	0	0	0	5	0	0	0	0	34	238
OG0000041	4	4	4	4	4	2	5	4	4	4	38	4	2	3	3	5	6	2	5	3	4	4	1	4	4	3	4	4	5	4	4	4	4	4	4	4	4	0	4	5	5	4	43	236
OG0000042	1	1	1	3	1	0	2	2	3	2	16	3	5	2	1	5	5	3	3	3	1	1	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	3	1	3	1	1	129	230
OG0000043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228	228
OG0000044	2	2	3	1	9	2	1	1	1	1	32	6	6	4	10	4	6	8	6	6	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	2	6	2	2	13	226
OG0000045	1	2	1	2	8	2	2	2	2	2	54	8	9	5	6	6	8	1	6	6	3	3	3	3	2	3	2	3	3	3	3	3	2	3	2	3	3	8	3	6	1	2	25	225
OG0000046	3	4	4	5	4	4	4	5	5	4	19	4	5	6	4	4	5	4	5	5	5	5	5	5	5	5	5	5	4	5	5	4	5	5	5	5	5	5	4	5	4	5	10	219
OG0000047	5	5	5	4	7	5	5	4	5	5	13	5	4	4	3	5	5	6	6	6	4	4	5	4	4	5	4	4	4	4	4	4	4	4	4	5	4	4	6	6	5	6	13	218
OG0000048	4	4	4	4	7	4	5	4	4	4	12	6	7	3	3	6	5	5	6	6	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6	4	6	4	4	6	218
OG0000049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	2	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	218
OG0000050	2	3	3	3	6	2	3	3	3	3	33	5	5	3	2	7	7	6	7	6	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	4	7	2	7	2	3	31	217
OG0000051	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	13	0	1	0	0	6	2	130	47	0	0	0	12	0	0	0	0	0	0	0	214
OG0000052	4	4	4	3	6	4	3	3	3	3	9	6	6	6	7	7	8	3	8	9	4	4	4	4	4	5	4	4	4	4	4	4	4	4	4	4	4	6	4	8	4	4	8	209
OG0000053	2	2	2	9	7	1	9	9	9	9	29	3	3	3	9	4	4	4	5	5	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	5	2	4	2	2	31	208
OG0000054	0	0	0	0	0	0	0	0	0	0	195	1	0	1	0	0	0	1	0	0	0	0	1	1	1	1	0	0	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	208
OG0000055	4	3	6	0	3	5	0	0	0	0	2	3	4	1	2	3	2	4	6	3	7	7	6	8	7	8	8	7	6	7	7	7	7	7	7	7	7	2	4	7	4	4	11	203
OG0000056	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	76	0	0	0	0	0	0	0	0	0	0	0	0	87	0	33	0	0	0	0	0	0	203
OG0000057	3	3	2	2	5	4	2	2	2	2	23	5	6	4	3	4	5	2	6	6	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	3	6	3	3	4	199
OG0000058	3	2	3	4	7	2	4	4	4	4	22	5	3	2	3	6	6	5	9	9	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	2	9	2	2	21	198
OG0000059	3	2	2	0	2	4	0	0	0	0	58	4	2	3	0	5	7	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	2	3	55	193
OG0000060	4	4	4	6	5	3	5	6	6	6	9	3	7	4	2	3	4	1	6	5	4	4	4	4	4	3	3	4	4	4	4	4	4	4	4	4	4	6	3	6	4	4	8	190
OG0000061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	0	1	171	0	0	0	12	0	0	0	0	0	0	0	190
OG0000062	3	3	3	4	7	3	4	4	4	4	7	5	9	3	2	6	6	4	7	7	4	4	4	4	3	4	3	4	4	4	4	4	3	4	4	4	4	6	2	6	2	3	10	189
OG0000063	5	3	5	3	4	4	3	3	3	3	4	5	3	2	2	5	5	3	4	4	5	5	6	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	4	3	6	5	186
OG0000064	0	0	0	0	0	0	0	0	0	0	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177
OG0000065	4	3	3	5	6	2	5	5	5	5	12	5	7	2	4	3	5	3	5	6	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	4	5	4	5	28	176
OG0000066	3	3	3	3	3	3	2	3	2	2	6	2	4	1	1	3	3	2	4	4	5	5	4	5	8	4	9	5	4	5	6	5	8	5	5	5	5	3	4	4	3	4	8	176
OG0000067	5	3	2	8	1	12	8	8	8	8	1	1	1	2	2	1	1	0	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	3	1	2	1	1	19	1	33	14	2	174
OG0000068	3	3	3	4	4	3	4	4	4	4	7	4	5	3	1	4	4	4	5	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	5	3	5	3	3	8	173
OG0000069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	24	0	0	0	0	0	0	0	0	0	0	0	0	33	0	77	0	0	0	0	0	0	172
OG0000070	4	4	3	3	5	3	3	3	3	3	6	6	5	3	2	6	5	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	170
OG0000071	1	1	1	2	5	1	2	2	2	2	43	3	6	5	2	4	5	4	7	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	1	7	1	1	32	170
OG0000072	2	2	3	0	3	3	0	0	0	0	72	1	3	2	1	3	2	0	2	2	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	2	2	2	4	4	5	170
OG0000073	0	0	0	0	0	0	0	0	0	0	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	169
OG0000074	2	2	2	4	3	2	2	4	2	2	10	3	2	2	2	3	3	2	3	3	4	4	5	5	7	5	7	3	5	5	5	5	7	3	4	5	4	3	2	3	2	3	14	168
OG0000075	2	3	3	3	8	2	3	3	3	3	12	8	6	7	5	9	8	6	9	8	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	8	2	2	6	168
OG0000076	2	5	3	1	5	3	1	1	1	1	6	6	5	5	2	6	5	0	6	5	4	4	3	3	4	4	4	4	3	4	4	4	4	4	3	3	4	6	2	5	3	4	12	164
OG0000077	0	0	0	0	0	0	0	0	0	0	0	4	1	5	35	89	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164
OG0000078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	2	0	2	77	0	0	0	14	0	0	0	0	0	0	0	164
OG0000079	42	2	0	3	8	1	3	3	3	3	7	4	4	4	3	3	3	1	4	4	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4	1	4	2	1	9	160
OG0000080	3	2	4	3	1	4	3	3	3	3	20	1	1	1	1	0	1	2	1	1	2	2	2	4	4	4	4	2	5	4	4	4	4	2	2	7	2	1	10	1	12	10	6	156
OG0000081	0	0	3	1	2	1	1	1	1	1	102	1	2	1	1	1	3	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	10	156
OG0000082	0	0	0	0	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154
OG0000083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	23	112	0	0	0	4	0	0	0	0	0	0	0	153
OG0000084	2	2	2	3	3	2	3	3	3	3	15	3	4	3	2	4	4	5	5	5	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	5	2	5	2	3	8	152
OG0000085	6	4	1	2	2	17	1	2	1	1	2	2	4	5	3	3	3	3	3	3	2	11	2	2	2	2	2	2	2	2	2	2	2	2	11	2	2	1	10	3	5	10	1	150
OG0000086	0	0	0	0	0	0	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149
OG0000087	3	2	2	3	10	3	4	3	3	3	7	6	4	5	6	5	5	4	6	5	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	5	3	7	2	3	5	148
OG0000088	3	3	5	2	3	3	1	2	1	1	6	4	3	3	4	5	4	2	5	5	3	3	3	4	4	4	4	4	4	4	3	4	4	4	3	4	3	2	4	5	3	4	3	148
OG0000089	1	1	0	0	4	0	0	0	0	0	20	4	7	4	2	4	5	0	6	6	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	6	1	6	1	1	18	148
OG0000090	2	3	2	2	4	2	2	2	2	2	6	4	7	5	5	6	5	1	4	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	6	4	4	2	5	145
OG0000091	4	4	3	3	2	3	3	3	3	3	5	4	2	3	1	4	5	6	4	4	3	3	4	2	3	3	3	5	3	3	3	2	3	3	3	3	3	6	3	4	4	4	3	145
OG0000092	3	3	3	3	4	2	3	3	3	3	8	3	3	3	6	5	5	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	7	143
OG0000093	3	3	3	1	5	3	1	1	1	1	9	4	6	4	3	6	6	1	4	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	7	143
OG0000094	3	3	4	3	3	3	3	3	3	3	8	3	3	4	1	3	3	3	3	3	3	3	3	3	4	3	4	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	7	141
OG0000095	3	3	2	0	4	1	1	0	0	1	0	4	7	3	3	5	5	0	8	8	3	3	4	5	4	5	5	4	4	5	5	4	4	4	3	4	3	3	1	7	1	2	0	141
OG0000096	136	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	140
OG0000097	2	2	3	2	3	2	1	2	1	2	6	1	3	1	2	3	2	2	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	2	2	31	139
OG0000098	0	0	0	3	5	0	3	3	3	3	10	5	5	3	5	6	4	2	4	4	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4	0	4	0	0	27	137
OG0000099	2	1	1	2	1	2	2	3	2	2	5	2	2	3	1	5	2	7	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	2	2	2	2	2	25	136
OG0000100	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	86	0	136
OG0000101	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	9	18	3	13	4	0	15	13	18	21	3	0	0	16	0	0	0	0	0	0	0	135
OG0000102	2	2	1	1	28	1	1	1	1	1	10	9	2	16	14	5	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	4	1	1	3	2	2	134
OG0000103	1	1	1	1	0	1	1	1	1	1	9	1	1	1	0	1	1	1	1	2	1	2	1	1	1	0	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	82	133
OG0000104	3	3	3	3	5	3	3	3	3	3	4	3	4	3	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	4	133
OG0000105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	2	0	73	48	0	0	0	4	0	0	0	0	0	0	0	132
OG0000106	1	1	0	0	0	0	0	0	0	0	0	24	1	39	47	10	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131
OG0000107	1	1	1	2	5	1	2	2	2	2	10	6	7	3	3	6	4	3	4	4	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	1	4	1	1	17	130
OG0000108	3	3	3	3	5	3	3	3	3	3	3	2	3	5	1	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	128
OG0000109	0	0	1	1	3	0	1	1	1	1	1	19	6	21	25	9	9	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	0	1	0	0	1	128
OG0000110	3	3	3	2	3	4	2	2	2	2	4	3	3	3	2	3	3	2	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	4	3	4	3	3	3	127
OG0000111	2	2	2	2	4	2	2	2	2	2	5	2	3	3	4	4	5	2	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	4	2	3	2	2	6	127
OG0000112	0	0	0	6	2	0	6	6	6	6	16	0	2	0	1	2	2	15	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	8	0	0	33	127
OG0000113	0	0	0	2	5	0	2	2	2	2	24	6	7	4	5	5	5	5	6	6	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	4	0	6	0	0	13	127
OG0000114	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	126
OG0000115	2	2	2	2	2	2	2	2	2	2	38	3	2	2	2	4	3	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	125
OG0000116	2	2	2	2	2	45	2	2	2	2	3	1	2	0	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	3	2	2	125
OG0000117	2	2	2	3	4	2	3	3	3	3	8	3	5	2	2	4	3	4	4	4	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4	2	5	2	2	10	125
OG0000118	2	2	2	3	2	2	3	3	3	3	15	2	3	2	2	3	4	2	4	4	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4	2	4	2	2	10	124
OG0000119	3	3	2	3	3	2	3	3	3	3	6	2	1	3	2	3	2	2	3	3	3	3	3	3	3	4	3	3	2	3	3	3	3	3	3	3	3	3	2	3	2	2	6	124
OG0000120	3	2	3	2	3	3	2	2	2	2	2	0	4	0	0	1	2	3	5	6	3	3	2	3	3	3	4	3	3	3	3	3	3	3	2	3	3	5	3	6	3	3	6	123
OG0000121	8	6	6	0	1	5	0	0	0	0	3	2	1	1	0	2	2	0	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	6	2	6	9	2	122
OG0000122	2	2	2	2	4	3	2	2	2	2	3	4	3	2	3	3	4	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	2	3	3	120
OG0000123	1	1	1	0	2	1	0	0	0	0	69	2	3	1	1	2	2	2	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	1	1	18	119
OG0000124	0	0	0	2	4	0	2	2	2	2	25	3	3	3	4	3	4	2	4	4	2	2	2	2	1	2	1	2	2	2	2	2	1	2	2	2	2	4	0	4	0	0	11	119
OG0000125	3	3	3	2	4	2	2	2	2	2	6	4	4	3	2	4	4	5	4	4	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	3	3	4	3	3	2	118
OG0000126	2	2	2	2	3	2	2	2	2	2	5	3	4	2	4	4	3	1	4	4	2	2	3	3	3	3	3	3	3	3	3	3	3	3	2	3	2	3	1	4	2	2	3	117
OG0000127	2	2	2	2	3	1	2	2	2	2	4	3	3	3	3	3	4	1	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	2	3	1	116
OG0000128	2	2	2	2	3	3	2	2	2	2	2	3	3	3	3	3	5	2	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	2	2	2	116
OG0000129	1	1	2	1	3	0	0	1	1	1	15	2	3	2	3	4	4	1	4	4	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	2	0	4	0	0	7	116
OG0000130	0	0	0	0	0	0	0	0	0	0	7	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	50	6	116
OG0000131	2	2	4	2	3	2	2	2	2	2	3	2	2	2	2	2	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	9	3	10	8	2	115
OG0000132	2	2	2	2	3	3	1	2	1	1	25	4	3	2	3	2	3	2	3	3	1	1	1	1	0	1	0	2	1	1	1	0	0	2	1	1	1	3	2	3	2	3	18	115
OG0000133	2	2	2	2	2	2	2	2	2	2	4	3	2	3	2	4	4	2	2	2	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	2	3	2	2	2	4	115
OG0000134	2	2	2	3	2	2	2	3	3	2	14	2	2	2	1	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	16	114
OG0000135	2	2	2	2	2	2	2	2	2	2	4	4	6	1	5	5	5	1	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	5	2	4	2	2	8	114
OG0000136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	114
OG0000137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	22	0	0	0	4	0	0	0	0	0	0	0	114
OG0000138	2	2	3	2	2	3	1	2	2	1	3	2	2	1	1	2	2	1	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	2	4	3	4	4	4	113
OG0000139	2	2	1	3	4	2	3	3	3	3	6	3	4	3	2	3	3	3	4	5	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	4	1	4	1	1	4	112
OG0000140	3	3	3	2	4	3	2	2	2	2	4	3	4	2	2	4	2	2	4	4	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	4	3	3	5	112
OG0000141	3	3	3	2	2	2	2	2	2	2	4	2	1	0	0	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	112
OG0000142	3	3	3	1	3	3	1	1	1	1	5	2	2	2	2	2	2	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	112
OG0000143	2	3	2	0	3	3	0	0	0	0	15	3	2	1	3	2	3	2	3	4	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	4	2	2	14	112
